bear ID,sample ID,species,date of birth,date of sampling,environment,sex,age,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave
Inaho,220531 Inaho,BB,1993/2/1,2022/5/31,Captive,F,1.874816049,2.520027496,2.231169217,2.503173207,2.159038179
Kako,220205 Kako,BB,1995/2/1,2022/2/5,Captive,F,1.617924439,1.464736698,1.74948095,1.859931227,1.668523156
Purinpurin,220211 Purinpurin,BB,1988/2/1,2022/2/11,Captive,F,2.396587359,1.740963199,1.890693556,2.095622945,2.143699164
SBT14,110809 SBT14,BB,2011/2/1,2011/8/9,Wild,F,-1.322276465,-0.694404461,-1.551893682,-0.956912152,-1.536330602
SBT15,110809 SBT15,BB,2011/2/1,2011/8/9,Wild,F,-1.322276465,-1.353125493,-1.541457646,-1.682400721,-1.498983435
LL,140608 LL,BB,2013/2/1,2014/6/8,Wild,M,-1.230150497,-0.615583141,-0.641675703,-0.28379952,-1.295241301
Biko,130613 Biko,BB,2011/2/1,2013/6/13,Wild,F,-1.117588803,-0.852398982,-1.195437841,-1.058799717,-1.293574017
Guri,13B09 Guri,BB,2010/2/1,2013/8/14,Wild,F,-0.98779017,-0.818618416,-0.859854072,-0.941363046,-0.824066776
Drum,140826 Drum,BB,2004/2/1,2014/8/26,Wild,F,-0.207303325,-0.100077633,-0.016165821,-0.119306342,-0.342888546
Kiriko,140825 Kiriko,BB,2001/2/1,2014/8/25,Wild,F,0.125315555,0.170518774,-0.084326178,-0.034604631,-0.297204958
